country,score_2015,score_2016,score_2017,score_2018,score_2019
"Hong Kong S.A.R., China",,,5.47200012,,
Hungary,4.8,5.145,5.32399988,5.62,5.758
Iceland,7.561,7.501,7.50400019,7.495,7.494
India,4.565,4.404,4.31500006,4.19,4.015
Indonesia,5.399,5.314,5.26200008,5.093,5.192
Iran,4.686,4.813,4.69199991,4.707,4.548
Iraq,4.677,4.575,4.49700022,4.456,4.437
Ireland,6.94,6.907,6.97700024,6.977,7.021
Israel,7.278,7.267,7.21299982,6.814,7.139
Italy,5.948,5.977,5.96400023,6,6.223
Ivory Coast,3.655,3.916,4.17999983,4.671,4.944
Jamaica,5.709,5.51,5.31099987,5.89,5.89
Japan,5.987,5.921,5.92000008,5.915,5.886
Jordan,5.192,5.303,5.33599997,5.161,4.906
Kazakhstan,5.855,5.919,5.81899977,5.79,5.809
Kenya,4.419,4.356,4.55299997,4.41,4.509
Kosovo,5.589,5.401,5.27899981,5.662,6.1
Kuwait,6.295,6.239,6.10500002,6.083,6.021
Kyrgyzstan,5.286,5.185,5.00400019,5.131,5.261
Laos,4.876,4.876,,4.623,4.796
Latvia,5.098,5.56,5.84999991,5.933,5.94
Lebanon,4.839,5.129,5.22499991,5.358,5.197
Lesotho,4.898,,3.80800009,3.808,3.802
Liberia,4.571,3.622,3.53299999,3.495,3.975
Libya,5.754,5.615,5.5250001,5.566,5.525
Lithuania,5.833,5.813,5.90199995,5.952,6.149
Luxembourg,6.946,6.871,6.86299992,6.91,7.09
Macedonia,5.007,5.121,5.17500019,5.185,
Madagascar,3.681,3.695,3.64400005,3.774,3.933
Malawi,4.292,4.156,3.97000003,3.587,3.41
Malaysia,5.77,6.005,6.08400011,6.322,5.339
Mali,3.995,4.073,4.19000006,4.447,4.39
Malta,6.302,6.488,6.52699995,6.627,6.726
Mauritania,4.436,4.201,4.29199982,4.356,4.49
Mauritius,5.477,5.648,5.62900019,5.891,5.888
Mexico,7.187,6.778,6.57800007,6.488,6.595
Moldova,5.889,5.897,5.83799982,5.64,5.529
Mongolia,4.874,4.907,4.95499992,5.125,5.285
Montenegro,5.192,5.161,5.23699999,5.347,5.523
Morocco,5.013,5.151,5.23500013,5.254,5.208
Mozambique,4.971,,4.55000019,4.417,4.466
Myanmar,4.307,4.395,4.54500008,4.308,4.36
Namibia,,4.574,4.57399988,4.441,4.639
Nepal,4.514,4.793,4.96199989,4.88,4.913
Netherlands,7.378,7.339,7.37699986,7.441,7.488
New Zealand,7.286,7.334,7.31400013,7.324,7.307
Nicaragua,5.828,5.992,6.0710001,6.141,6.105
Niger,3.845,3.856,4.02799988,4.166,4.628
Nigeria,5.268,4.875,5.07399988,5.155,5.265
North Cyprus,5.695,5.771,5.80999994,,
North Macedonia,,,,,5.274
Northern Cyprus,,,,5.835,5.718
Norway,7.522,7.498,7.53700018,7.594,7.554
Oman,6.853,,,,
Pakistan,5.194,5.132,5.26900005,5.472,5.653
Palestinian Territories,4.715,4.754,4.7750001,4.743,4.696
Panama,6.786,6.701,6.45200014,6.43,6.321
Paraguay,5.878,5.538,5.49300003,5.681,5.743
Peru,5.824,5.743,5.71500015,5.663,5.697
Philippines,5.073,5.279,5.42999983,5.524,5.631
Poland,5.791,5.835,5.97300005,6.123,6.182
Portugal,5.102,5.123,5.19500017,5.41,5.693
Puerto Rico,,7.039,,,
Qatar,6.611,6.375,6.375,6.374,6.374
Romania,5.124,5.528,5.82499981,5.945,6.07
Russia,5.716,5.856,5.96299982,5.81,5.648
Rwanda,3.465,3.515,3.47099996,3.408,3.334
Saudi Arabia,6.411,6.379,6.34399986,6.371,6.375
Senegal,3.904,4.219,4.53499985,4.631,4.681
Serbia,5.123,5.177,5.39499998,5.398,5.603
Sierra Leone,4.507,4.635,4.70900011,4.571,4.374
Singapore,6.798,6.739,6.57200003,6.343,6.262
Slovakia,5.995,6.078,6.09800005,6.173,6.198
Slovenia,5.848,5.768,5.7579999,5.948,6.118
Somalia,,5.44,5.15100002,4.982,4.668
Somaliland region,5.057,5.057,,,
South Africa,4.642,4.459,4.829,4.724,4.722
South Korea,5.984,5.835,5.83799982,5.875,5.895
South Sudan,,3.832,3.59100008,3.254,2.853
Spain,6.329,6.361,6.40299988,6.31,6.354
Sri Lanka,4.271,4.415,4.44000006,4.471,4.366
Sudan,4.55,4.139,4.13899994,4.139,
Suriname,6.269,6.269,,,
Swaziland,4.867,,,,4.212
Sweden,7.364,7.291,7.28399992,7.314,7.343
Switzerland,7.587,7.509,7.49399996,7.487,7.48
Syria,3.006,3.069,3.46199989,3.462,3.462
Taiwan,6.298,6.379,,6.441,6.446
Taiwan Province of China,,,6.42199993,,
Tajikistan,4.786,4.996,5.04099989,5.199,5.467
Tanzania,3.781,3.666,3.34899998,3.303,3.231
Thailand,6.455,6.474,6.42399979,6.072,6.008
Togo,2.839,3.303,3.49499989,3.999,4.085
Trinidad & Tobago,,,,6.192,6.192
Trinidad and Tobago,6.168,6.168,6.16800022,,
Tunisia,4.739,5.045,4.80499983,4.592,4.461
Turkey,5.332,5.389,5.5,5.483,5.373
Turkmenistan,5.548,5.658,5.82200003,5.636,5.247
Uganda,3.931,3.739,4.08099985,4.161,4.189
Ukraine,4.681,4.324,4.0960002,4.103,4.332
United Arab Emirates,6.901,6.573,6.64799976,6.774,6.825
United Kingdom,6.867,6.725,6.71400023,7.19,7.054
United States,7.119,7.104,6.99300003,6.886,6.892
Uruguay,6.485,6.545,6.454,6.379,6.293
Uzbekistan,6.003,5.987,5.9710002,6.096,6.174
Venezuela,6.81,6.084,5.25,4.806,4.707
Vietnam,5.36,5.061,5.07399988,5.103,5.175
Yemen,4.077,3.724,3.59299994,3.355,3.38
Zambia,5.129,4.795,4.51399994,4.377,4.107
Zimbabwe,4.61,4.193,3.875,3.692,3.663
