rank,country,region,score,gdp,health_life_expectancy,freedom,perceptions_of_corruption,generosity
139,Togo,Sub-Saharan Africa,4.085,0.275,0.41,0.293,0.085,0.177
140,India,Southern Asia,4.015,0.755,0.588,0.498,0.085,0.2
141,Liberia,Sub-Saharan Africa,3.975,0.073,0.443,0.37,0.033,0.233
142,Comoros,Sub-Saharan Africa,3.973,0.274,0.505,0.142,0.078,0.275
143,Madagascar,Sub-Saharan Africa,3.933,0.274,0.555,0.148,0.041,0.169
144,Lesotho,Sub-Saharan Africa,3.802,0.489,0.168,0.359,0.093,0.107
145,Burundi,Sub-Saharan Africa,3.775,0.046,0.38,0.22,0.18,0.176
146,Zimbabwe,Sub-Saharan Africa,3.663,0.366,0.433,0.361,0.089,0.151
147,Haiti,Latin America and Caribbean,3.597,0.323,0.449,0.026,0.11,0.419
148,Botswana,Sub-Saharan Africa,3.488,1.041,0.538,0.455,0.1,0.025
149,Syria,Middle East and Northern Africa,3.462,0.619,0.44,0.013,0.141,0.331
150,Malawi,Sub-Saharan Africa,3.41,0.191,0.495,0.443,0.089,0.218
151,Yemen,Middle East and Northern Africa,3.38,0.287,0.463,0.143,0.077,0.108
152,Rwanda,Sub-Saharan Africa,3.334,0.359,0.614,0.555,0.411,0.217
153,Tanzania,Sub-Saharan Africa,3.231,0.476,0.499,0.417,0.147,0.276
154,Afghanistan,Southern Asia,3.203,0.35,0.361,0,0.025,0.158
155,Central African Republic,Sub-Saharan Africa,3.083,0.026,0.105,0.225,0.035,0.235
156,South Sudan,Sub-Saharan Africa,2.853,0.306,0.295,0.01,0.091,0.202
