rank,country,region,score,gdp,health_life_expectancy,freedom,perceptions_of_corruption,generosity
66,Kosovo,,5.662,0.855,0.578,0.448,0.023,0.274
67,Moldova,,5.64,0.657,0.62,0.232,0,0.171
68,Turkmenistan,,5.636,1.016,0.517,0.417,0.037,0.199
69,Hungary,,5.62,1.171,0.732,0.259,0.022,0.061
70,Libya,,5.566,0.985,0.553,0.496,0.148,0.116
71,Philippines,,5.524,0.775,0.513,0.643,0.105,0.12
72,Honduras,,5.504,0.62,0.622,0.459,0.074,0.197
73,Belarus,,5.483,1.039,0.7,0.307,0.154,0.101
74,Turkey,,5.483,1.148,0.686,0.324,0.109,0.106
75,Pakistan,,5.472,0.652,0.424,0.334,0.113,0.216
76,Hong Kong,,5.43,1.405,1.03,0.524,0.291,0.246
77,Portugal,,5.41,1.188,0.884,0.562,0.017,0.055
78,Serbia,,5.398,0.975,0.685,0.288,0.043,0.134
79,Greece,,5.358,1.154,0.879,0.131,0.044,0
80,Lebanon,,5.358,0.965,0.785,0.503,0.136,0.214
81,Montenegro,,5.347,1.017,0.729,0.259,0.081,0.111
82,Croatia,,5.321,1.115,0.737,0.38,0.039,0.12
83,Dominican Republic,,5.302,0.982,0.614,0.578,0.106,0.12
84,Algeria,,5.295,0.979,0.687,0.077,0.135,0.055
85,Morocco,,5.254,0.779,0.669,0.46,0.074,0.026
86,China,,5.246,0.989,0.799,0.597,0.103,0.029
87,Azerbaijan,,5.201,1.024,0.603,0.43,0.176,0.031
88,Tajikistan,,5.199,0.474,0.598,0.292,0.034,0.187
89,Macedonia,,5.185,0.959,0.691,0.394,0.052,0.173
90,Jordan,,5.161,0.822,0.645,0.468,0.134,0.13
91,Nigeria,,5.155,0.689,0.048,0.462,0.032,0.201
92,Kyrgyzstan,,5.131,0.53,0.594,0.54,0.035,0.281
93,Bosnia and Herzegovina,,5.129,0.915,0.758,0.28,0,0.216
94,Mongolia,,5.125,0.914,0.575,0.395,0.032,0.253
95,Vietnam,,5.103,0.715,0.702,0.618,0.079,0.177
96,Indonesia,,5.093,0.899,0.522,0.538,0.018,0.484
97,Bhutan,,5.082,0.796,0.527,0.541,0.171,0.364
98,Somalia,,4.982,0,0.115,0.674,0.282,0.238
99,Cameroon,,4.975,0.535,0.182,0.454,0.043,0.183
100,Bulgaria,,4.933,1.054,0.712,0.359,0.009,0.064
101,Nepal,,4.88,0.425,0.539,0.526,0.078,0.302
102,Venezuela,,4.806,0.996,0.657,0.133,0.052,0.056
103,Gabon,,4.758,1.036,0.404,0.356,0.052,0.032
104,Palestinian Territories,,4.743,0.642,0.602,0.266,0.076,0.086
105,South Africa,,4.724,0.94,0.33,0.516,0.056,0.103
106,Iran,,4.707,1.059,0.691,0.459,0.129,0.282
107,Ivory Coast,,4.671,0.541,0.08,0.467,0.103,0.146
108,Ghana,,4.657,0.592,0.337,0.499,0.029,0.212
109,Senegal,,4.631,0.429,0.433,0.406,0.082,0.138
110,Laos,,4.623,0.72,0.441,0.626,0.174,0.23
111,Tunisia,,4.592,0.9,0.69,0.271,0.063,0.04
112,Albania,,4.586,0.916,0.79,0.419,0.032,0.149
113,Sierra Leone,,4.571,0.256,0,0.355,0.053,0.238
114,Congo (Brazzaville),,4.559,0.682,0.343,0.514,0.077,0.091
115,Bangladesh,,4.5,0.532,0.579,0.58,0.144,0.153
116,Sri Lanka,,4.471,0.918,0.672,0.585,0.05,0.307
117,Iraq,,4.456,1.01,0.536,0.304,0.095,0.148
118,Mali,,4.447,0.37,0.152,0.367,0.056,0.139
119,Namibia,,4.441,0.874,0.365,0.519,0.064,0.051
120,Cambodia,,4.433,0.549,0.457,0.696,0.065,0.256
121,Burkina Faso,,4.424,0.314,0.254,0.312,0.128,0.175
122,Egypt,,4.419,0.885,0.553,0.312,0.107,0.092
123,Mozambique,,4.417,0.198,0.173,0.531,0.158,0.206
124,Kenya,,4.41,0.493,0.454,0.504,0.055,0.352
125,Zambia,,4.377,0.562,0.295,0.503,0.082,0.221
126,Mauritania,,4.356,0.557,0.292,0.129,0.093,0.134
127,Ethiopia,,4.35,0.308,0.391,0.452,0.146,0.22
128,Georgia,,4.34,0.853,0.643,0.375,0.215,0.038
129,Armenia,,4.321,0.816,0.666,0.26,0.028,0.077
130,Myanmar,,4.308,0.682,0.429,0.58,0.178,0.598
131,Chad,,4.301,0.358,0.053,0.189,0.06,0.181
132,Congo (Kinshasa),,4.245,0.069,0.204,0.312,0.052,0.197
133,India,,4.19,0.721,0.485,0.539,0.093,0.172
134,Niger,,4.166,0.131,0.221,0.39,0.099,0.175
135,Uganda,,4.161,0.322,0.237,0.45,0.061,0.259
136,Benin,,4.141,0.378,0.24,0.44,0.067,0.163
137,Sudan,,4.139,0.605,0.312,0.016,0.082,0.134
138,Ukraine,,4.103,0.793,0.609,0.163,0.011,0.187
139,Togo,,3.999,0.259,0.253,0.434,0.101,0.158
140,Guinea,,3.964,0.344,0.211,0.394,0.094,0.185
141,Lesotho,,3.808,0.472,0.079,0.423,0.112,0.116
142,Angola,,3.795,0.73,0.269,0,0.061,0.079
143,Madagascar,,3.774,0.262,0.402,0.221,0.049,0.155
144,Zimbabwe,,3.692,0.357,0.248,0.406,0.099,0.132
145,Afghanistan,,3.632,0.332,0.255,0.085,0.036,0.191
146,Botswana,,3.59,1.017,0.417,0.557,0.092,0.042
147,Malawi,,3.587,0.186,0.306,0.531,0.08,0.21
148,Haiti,,3.582,0.315,0.289,0.025,0.104,0.392
149,Liberia,,3.495,0.076,0.267,0.419,0.03,0.206
150,Syria,,3.462,0.689,0.539,0.088,0.144,0.376
151,Rwanda,,3.408,0.332,0.4,0.636,0.444,0.2
152,Yemen,,3.355,0.442,0.343,0.244,0.064,0.083
153,Tanzania,,3.303,0.455,0.381,0.481,0.097,0.27
154,South Sudan,,3.254,0.337,0.177,0.112,0.106,0.224
155,Central African Republic,,3.083,0.024,0.01,0.305,0.038,0.218
156,Burundi,,2.905,0.091,0.145,0.065,0.076,0.149
