rank,country,region,score,gdp,health_life_expectancy,freedom,perceptions_of_corruption,generosity,social_support
143,Madagascar,Sub-Saharan Africa,3.9330000000000003,0.27399999999999997,0.555,0.14800000000000002,0.040999999999999995,0.16899999999999998,0.9159999999999999
144,Lesotho,Sub-Saharan Africa,3.802,0.489,0.168,0.359,0.09300000000000001,0.107,1.169
145,Burundi,Sub-Saharan Africa,3.775,0.046,0.38,0.22,0.18,0.17600000000000002,0.447
146,Zimbabwe,Sub-Saharan Africa,3.6630000000000003,0.366,0.433,0.361,0.08900000000000001,0.151,1.114
147,Haiti,Latin America and Caribbean,3.597,0.32299999999999995,0.449,0.026000000000000002,0.11,0.419,0.688
148,Botswana,Sub-Saharan Africa,3.488,1.041,0.5379999999999999,0.455,0.1,0.025,1.145
149,Syria,Middle East and Northern Africa,3.4619999999999997,0.619,0.44,0.013000000000000001,0.141,0.331,0.37799999999999995
150,Malawi,Sub-Saharan Africa,3.41,0.191,0.495,0.44299999999999995,0.08900000000000001,0.218,0.56
151,Yemen,Middle East and Northern Africa,3.38,0.287,0.46299999999999997,0.14300000000000002,0.077,0.10800000000000001,1.163
152,Rwanda,Sub-Saharan Africa,3.3339999999999996,0.359,0.614,0.555,0.41100000000000003,0.217,0.711
153,Tanzania,Sub-Saharan Africa,3.2310000000000003,0.47600000000000003,0.499,0.41700000000000004,0.147,0.276,0.885
154,Afghanistan,Southern Asia,3.2030000000000003,0.35,0.361,0.0,0.025,0.158,0.517
155,Central African Republic,Sub-Saharan Africa,3.083,0.026000000000000002,0.105,0.225,0.035,0.235,0.0
156,South Sudan,Sub-Saharan Africa,2.853,0.306,0.295,0.01,0.091,0.20199999999999999,0.575
